UDI,Process temperature [C],Rotational speed [rpm],Torque [Nm],Noise (dB),Target,Failure_Type
1,28.4,1958.7,0.487,89.2,0,No Failure
2,28.5,1896.3,0.502,98.1,1,Noise Failure
3,28.8,1747.4,0.491,92.3,1,Speed Failure
4,28.6,1941.7,0.474,97.8,1,Noise Failure
5,28.7,1922.5,0.229,94.4,1,Power Failure
6,28.4,1968.6,0.486,89.8,0,No Failure
7,28.7,1971.8,0.482,89.5,0,No Failure
8,28.6,1882.7,0.826,93.8,1,Power Failure
9,28.7,1942.4,0.489,89.1,0,No Failure
10,28.4,1938.7,0.492,91.6,0,No Failure
11,28.6,1894.1,0.754,91.8,1,Power Failure
12,28.4,1959.0,0.486,90.3,0,No Failure
13,28.3,1961.4,0.485,89.9,0,No Failure
14,28.6,1928.9,0.494,91.3,0,No Failure
15,28.5,1933.6,0.492,90.7,0,No Failure
16,28.4,1942.2,0.492,92.8,0,No Failure
17,28.4,1940.5,0.492,88.6,0,No Failure
18,28.5,1958.3,0.488,91.3,0,No Failure
19,33.2,1978.2,0.483,92.6,1,Temp Failure
20,28.6,1970.1,0.485,90.8,0,No Failure
21,28.7,1962.3,0.487,89.9,0,No Failure
22,28.4,1933.7,0.494,91.1,0,No Failure
23,28.7,1967.0,0.486,88.3,0,No Failure
24,28.4,1900.3,0.294,90.7,1,Power Failure
25,28.7,1966.3,0.486,90.4,0,No Failure
26,28.4,1929.3,0.495,88.7,0,No Failure
27,28.6,1947.1,0.490,90.4,0,No Failure
28,28.4,1940.7,0.492,89.0,0,No Failure
29,28.5,1432.8,0.667,89.6,1,Power Failure
30,28.8,2275.3,0.420,94.5,1,Speed Failure
31,28.8,1948.5,0.490,89.0,0,No Failure
32,28.6,1951.5,0.489,88.7,0,No Failure
33,28.7,1939.7,0.492,90.3,0,No Failure
34,28.4,1954.5,0.489,90.5,0,No Failure
35,28.6,1929.3,0.495,96.7,1,Noise Failure
36,28.6,1966.6,0.486,91.2,0,No Failure
37,28.7,1965.1,0.486,88.8,0,No Failure
38,28.4,1946.6,0.491,91.4,0,No Failure
39,28.6,1957.8,0.488,88.3,0,No Failure
40,28.4,1942.9,0.492,89.9,0,No Failure
41,28.3,1972.4,0.484,88.3,0,No Failure
42,28.6,1971.0,0.485,91.3,0,No Failure
43,28.5,1933.0,0.494,88.8,0,No Failure
44,28.3,1975.8,0.412,91.5,1,Power Failure
45,28.5,1963.7,0.486,90.9,0,No Failure
46,28.8,1952.8,0.489,90.4,0,No Failure
47,28.4,1960.2,0.487,91.0,0,No Failure
48,28.5,1942.1,0.492,88.1,0,No Failure
49,28.4,1940.8,0.492,89.8,0,No Failure
50,28.5,1932.8,0.494,89.9,0,No Failure
51,28.8,1948.1,0.490,88.0,0,No Failure
52,28.6,1949.1,0.490,88.5,0,No Failure
53,28.7,1947.9,0.490,88.4,0,No Failure
54,36.2,1968.6,0.486,89.8,1,Temp Failure
55,34.9,1971.8,0.482,89.5,1,Temp Failure
56,28.6,1948.4,0.490,89.7,0,No Failure
57,28.7,1963.9,0.486,90.4,0,No Failure
58,28.4,1949.2,0.490,88.0,0,No Failure
59,28.6,1941.9,0.492,89.3,0,No Failure
60,28.4,1941.3,0.492,89.4,0,No Failure
61,28.3,1971.6,0.484,90.6,0,No Failure
62,28.6,1960.6,0.487,88.9,0,No Failure
63,28.5,1951.8,0.489,89.9,0,No Failure
64,28.8,1933.7,0.494,95.7,1,Noise Failure
65,28.4,1964.1,0.486,90.9,0,No Failure
66,28.5,1933.7,0.494,88.2,0,No Failure
67,28.8,1974.2,0.484,88.8,0,No Failure
68,28.6,1952.7,0.489,88.3,0,No Failure
69,28.3,1969.2,0.485,97.4,1,Noise Failure
70,28.4,1944.8,0.491,89.8,0,No Failure
71,28.7,1933.2,0.494,90.0,0,No Failure
72,28.6,1940.0,0.492,88.4,0,No Failure
73,28.6,1425.2,0.512,91.4,1,Speed Failure
74,28.4,1947.9,0.490,90.2,0,No Failure
75,28.6,1939.0,0.493,88.0,0,No Failure
76,28.4,1946.5,0.491,88.8,0,No Failure
77,28.5,1936.3,0.493,91.3,0,No Failure
78,28.4,1974.2,0.284,89.6,1,Power Failure
79,28.6,1947.5,0.490,89.9,0,No Failure
80,28.7,1952.3,0.489,90.3,0,No Failure
81,28.4,1966.9,0.486,88.9,0,No Failure
82,28.4,1969.2,0.485,91.0,0,No Failure
83,28.5,1963.0,0.487,89.7,0,No Failure
84,28.8,1957.6,0.488,88.3,0,No Failure
85,28.6,1931.9,0.494,90.4,0,No Failure
86,28.7,1930.4,0.495,90.6,0,No Failure
87,28.6,1149.8,0.492,84.2,1,Speed Failure
88,28.7,1947.7,0.490,89.7,0,No Failure
89,28.6,1948.9,0.490,91.0,0,No Failure
90,28.7,1928.9,0.495,90.6,0,No Failure
91,28.4,1952.1,0.489,90.6,0,No Failure
92,28.6,1958.4,0.488,90.8,0,No Failure
93,28.4,1931.6,0.494,91.1,0,No Failure
94,28.3,1946.1,0.491,90.8,0,No Failure
95,28.4,1934.0,0.494,88.9,0,No Failure
96,28.5,1946.7,0.491,91.3,0,No Failure
97,28.7,1966.3,0.322,95.7,1,Power Failure
98,28.6,1937.6,0.493,88.8,0,No Failure
99,28.7,1972.7,0.484,88.5,0,No Failure
100,28.4,1957.1,0.488,90.5,0,No Failure
101,28.8,1978.4,0.483,97.4,1,Noise Failure
102,28.6,1949.2,0.490,89.8,0,No Failure
103,28.4,1967.1,0.485,88.4,0,No Failure
104,28.5,1946.3,0.491,88.9,0,No Failure
105,28.8,1966.8,0.486,89.6,0,No Failure
106,28.6,1954.1,0.489,90.3,0,No Failure
107,28.6,1687,0.494,91.5,1,Speed Failure
108,28.4,1947.3,0.490,91.0,0,No Failure
109,28.7,1947.2,0.490,88.2,0,No Failure
110,28.6,1939.0,0.493,88.2,0,No Failure
111,28.4,1932.5,0.494,96.9,1,Noise Failure
112,29.1,1988.8,0.142,88.4,1,Power Failure
113,28.6,1959.1,0.487,90.3,0,No Failure
114,28.4,1932.5,0.494,90.4,0,No Failure
115,28.3,1936.0,0.493,88.9,0,No Failure
116,28.6,1942.5,0.492,90.4,0,No Failure
117,28.8,1962.9,0.487,88.8,0,No Failure
118,28.8,1922.5,0.229,92.4,1,Power Failure
119,28.4,1974.7,0.484,88.4,0,No Failure
120,28.5,1974.8,0.484,90.0,0,No Failure
121,28.4,1932.4,0.494,89.9,0,No Failure
122,28.4,2254,0.345,93.7,1,Speed Failure
123,28.8,1930.7,0.495,88.1,0,No Failure
124,29.3,1949.3,0.490,88.1,0,No Failure
125,28.4,1932.9,0.494,91.2,0,No Failure
126,28.7,1934.7,0.494,89.9,0,No Failure
127,28.4,1971.4,0.484,89.2,0,No Failure
128,28.8,1747.4,0.541,89.4,1,Speed Failure
129,29.4,1896.3,0.502,98.1,1,Noise Failure
130,28.7,1947.4,0.490,90.0,0,No Failure
131,29.2,1973.1,0.484,89.5,0,No Failure
132,28.7,1945.4,0.491,90.3,0,No Failure
133,28.8,1930.5,0.495,91.1,0,No Failure
134,28.7,1882.7,0.626,93.8,1,Power Failure
135,28.6,1963.8,0.486,88.6,0,No Failure
136,28.7,1974.7,0.484,89.2,0,No Failure
137,28.4,1955.0,0.488,89.0,0,No Failure
138,28.5,1782.7,0.686,94.8,1,Power Failure
139,28.4,1938.5,0.493,90.7,0,No Failure
140,28.7,1939.7,0.492,91.4,0,No Failure
